UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
480,CDKW24DTURQ-CLP18 SIYAH ELBISE,480,ELBISE,ÖN KALITE KONTROL,MANUEL,53,75.0,216.58
289,CDKS24HDONU-BXA79 T-SHIRT,289,T-SHIRT,KOL TAKMA,OVERLOK,5,36.0,215.0
504,SBKS24DSPO2-BUB59 ELBISE,504,ELBISE,ÜRÜN KATLAMA,MANUEL,7,10.58,215.0
444,144430499 MIDI TUTU DRESS TÜL ELBISE,444,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,163,120.0,214.74
87,2220847 BEGONIA BLUZ,87,T-SHIRT,YAN ÇATMA,OVERLOK,27,50.0,213.85
495,144430499 MIDI TUTU DRESS TÜL ELBISE,495,ELBISE,BEDEN TÜL TAKMA 2,OVERLOK,12,80.0,213.83
524,144430499 MIDI TUTU DRESS TÜL ELBISE,524,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,144,120.0,212.2
153,2222582 COMPONI,153,ELBISE,ALT ÜST BIRLESTIRME,OVERLOK,149,55.0,212.06
515,144430499 MIDI TUTU DRESS TÜL ELBISE,515,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,177,120.0,211.77
71,2222582 COMPONI,71,ELBISE,ETEK UCU KIVIRMA,DÜZ,3,45.0,211.33
138,2228071 MILKY WAY SIYAH ELBISE,138,ELBISE,FIRFIR KAPATMA,REÇME,22,55.0,210.68
63,2222582 COMPONI,63,ELBISE,KOL TAKMA,OVERLOK,100,80.0,210.44
315,2228557 JISSO ELBISE,315,ELBISE,KOL REÇME,REÇME,45,65.0,210.38
486,SBKS24DSPO2-BUB59 ELBISE,486,ELBISE,BEDEN AYIRMA,MANUEL,4,24.0,209.75
471,2218178 ASKILI BÜRÜMCÜK ELBISE,471,ELBISE,BEDEN ÜTÜ,ÜTÜ,46,20.0,209.59
20,2222617 BARILAN ELBISE,20,ELBISE,ÖN PAT KAPAMA,DÜZ,32,72.0,209.16
588,ARLW24RBATO MATERNITY HAMILE ELBISE,588,ELBISE,TÜNEL BEL  EMNIYET,DÜZ,98,40.0,208.45
460,MSBS24HMACR-BXC21 BABY TSHIRT,460,T-SHIRT,KOL TAKMA,OVERLOK,9,40.0,207.78
428,2225885 JISOONA ELBISE,428,ELBISE,YAN YIRTMAÇ GAZI,DÜZ,74,144.0,206.91
569,CDKW24DTURQ-CLP18 SIYAH ELBISE,569,ELBISE,KOL KISTIRMA,DÜZ,12,24.0,205.5
532,2220847 BEGONIA BLUZ,532,T-SHIRT,ÖN KALITE KONTROL,MANUEL,119,72.0,205.17
217,2228071 MILKY WAY SIYAH ELBISE,217,ELBISE,FIRFIR BEDENE TAKMA,DÜZ,109,103.0,205.01
325,2218178 ASKILI BÜRÜMCÜK ELBISE,325,ELBISE,ÖN KALITE KONTROL,MANUEL,8,48.0,204.88
46,2222582 COMPONI,46,ELBISE,KOL TAKMA,OVERLOK,23,80.0,203.91
